Departamento,Municipio,Año de Gestion,mortalidad_fetal,Nacidos Muertos Atendidos Por Partera,Nacidos Muertos Atendidos Por Personal De Salud,Nacidos Muertos
BENI,BAURES,2016,0,0,1,0
BENI,BAURES,2017,0,0,1,0
BENI,BAURES,2018,0,0,1,0
BENI,BAURES,2019,0,0,1,0
BENI,BAURES,2020,0,0,1,0
BENI,BAURES,2021,0,0,1,0
BENI,BAURES,2022,0,0,2,0
BENI,BAURES,2023,0,0,2,0
BENI,BAURES,2024,0,0,2,0
BENI,BAURES,2025,0,0,2,0
BENI,BAURES,2026,0,0,2,0
BENI,BAURES,2027,0,0,2,0
BENI,BAURES,2028,0,0,2,0
BENI,BAURES,2029,0,0,2,0
BENI,BAURES,2030,0,0,2,0
BENI,EXALTACION,2016,0,0,0,0
BENI,EXALTACION,2017,0,0,0,0
BENI,EXALTACION,2018,0,0,0,0
BENI,EXALTACION,2019,0,0,0,0
BENI,EXALTACION,2020,0,0,0,0
BENI,EXALTACION,2021,0,0,0,0
BENI,EXALTACION,2022,0,0,0,0
BENI,EXALTACION,2023,0,0,0,0
BENI,EXALTACION,2024,0,0,0,0
BENI,EXALTACION,2025,0,0,0,0
BENI,EXALTACION,2026,0,0,0,0
BENI,EXALTACION,2027,0,0,0,0
BENI,EXALTACION,2028,0,0,0,0
BENI,EXALTACION,2029,0,0,0,0
BENI,EXALTACION,2030,0,0,0,0
BENI,GUAYARAMERIN,2016,18,0,7,10
BENI,GUAYARAMERIN,2017,19,0,9,10
BENI,GUAYARAMERIN,2018,20,0,10,10
BENI,GUAYARAMERIN,2019,21,0,12,10
BENI,GUAYARAMERIN,2020,22,0,13,9
BENI,GUAYARAMERIN,2021,23,0,14,9
BENI,GUAYARAMERIN,2022,25,0,16,9
BENI,GUAYARAMERIN,2023,26,0,17,9
BENI,GUAYARAMERIN,2024,27,0,18,9
BENI,GUAYARAMERIN,2025,28,0,20,9
BENI,GUAYARAMERIN,2026,29,0,21,8
BENI,GUAYARAMERIN,2027,31,0,22,8
BENI,GUAYARAMERIN,2028,32,0,24,8
BENI,GUAYARAMERIN,2029,33,0,25,8
BENI,GUAYARAMERIN,2030,34,0,26,8
BENI,HUARACAJE,2016,0,0,0,0
BENI,HUARACAJE,2017,0,0,0,0
BENI,HUARACAJE,2018,0,0,0,0
BENI,HUARACAJE,2019,0,0,0,0
BENI,HUARACAJE,2020,0,0,0,0
BENI,HUARACAJE,2021,0,0,0,0
BENI,HUARACAJE,2022,0,0,0,0
BENI,HUARACAJE,2023,0,0,0,0
BENI,HUARACAJE,2024,0,0,0,0
BENI,HUARACAJE,2025,0,0,0,0
BENI,HUARACAJE,2026,0,0,0,0
BENI,HUARACAJE,2027,0,0,0,0
BENI,HUARACAJE,2028,0,0,0,0
BENI,HUARACAJE,2029,0,0,0,0
BENI,HUARACAJE,2030,0,0,0,0
BENI,LORETO,2016,1,0,0,1
BENI,LORETO,2017,0,0,0,0
BENI,LORETO,2018,0,0,0,0
BENI,LORETO,2019,0,0,0,0
BENI,LORETO,2020,0,0,0,0
BENI,LORETO,2021,0,0,0,0
BENI,LORETO,2022,0,0,0,0
BENI,LORETO,2023,0,0,0,0
BENI,LORETO,2024,0,0,0,0
BENI,LORETO,2025,0,0,0,0
BENI,LORETO,2026,0,0,0,0
BENI,LORETO,2027,0,0,0,0
BENI,LORETO,2028,0,0,0,0
BENI,LORETO,2029,0,0,0,0
BENI,LORETO,2030,0,0,0,0
BENI,MAGDALENA,2016,5,0,7,0
BENI,MAGDALENA,2017,2,0,8,0
BENI,MAGDALENA,2018,0,0,9,0
BENI,MAGDALENA,2019,0,0,10,0
BENI,MAGDALENA,2020,0,0,11,0
BENI,MAGDALENA,2021,0,0,13,0
BENI,MAGDALENA,2022,0,0,14,0
BENI,MAGDALENA,2023,0,0,15,0
BENI,MAGDALENA,2024,0,0,16,0
BENI,MAGDALENA,2025,0,0,17,0
BENI,MAGDALENA,2026,0,0,18,0
BENI,MAGDALENA,2027,0,0,19,0
BENI,MAGDALENA,2028,0,0,20,0
BENI,MAGDALENA,2029,0,0,21,0
BENI,MAGDALENA,2030,0,0,23,0
BENI,PUERTO SILES,2016,0,0,0,0
BENI,PUERTO SILES,2017,0,0,0,0
BENI,PUERTO SILES,2018,0,0,0,0
BENI,PUERTO SILES,2019,0,0,0,0
BENI,PUERTO SILES,2020,0,0,0,0
BENI,PUERTO SILES,2021,0,0,0,0
BENI,PUERTO SILES,2022,0,0,0,0
BENI,PUERTO SILES,2023,0,0,0,0
BENI,PUERTO SILES,2024,0,0,0,0
BENI,PUERTO SILES,2025,0,0,0,0
BENI,PUERTO SILES,2026,0,0,0,0
BENI,PUERTO SILES,2027,0,0,0,0
BENI,PUERTO SILES,2028,0,0,0,0
BENI,PUERTO SILES,2029,0,0,0,0
BENI,PUERTO SILES,2030,0,0,0,0
BENI,REYES,2016,0,0,3,0
BENI,REYES,2017,0,0,3,0
BENI,REYES,2018,0,0,4,0
BENI,REYES,2019,0,0,4,0
BENI,REYES,2020,0,0,4,0
BENI,REYES,2021,0,0,5,0
BENI,REYES,2022,0,0,5,0
BENI,REYES,2023,0,0,5,0
BENI,REYES,2024,0,0,6,0
BENI,REYES,2025,0,0,6,0
BENI,REYES,2026,0,0,6,0
BENI,REYES,2027,0,0,7,0
BENI,REYES,2028,0,0,7,0
BENI,REYES,2029,0,0,8,0
BENI,REYES,2030,0,0,8,0
BENI,RIBERALTA,2016,60,0,26,34
BENI,RIBERALTA,2017,63,0,30,33
BENI,RIBERALTA,2018,67,0,35,32
BENI,RIBERALTA,2019,71,0,40,31
BENI,RIBERALTA,2020,75,0,44,30
BENI,RIBERALTA,2021,79,0,49,30
BENI,RIBERALTA,2022,82,0,54,29
BENI,RIBERALTA,2023,86,0,58,28
BENI,RIBERALTA,2024,90,0,63,27
BENI,RIBERALTA,2025,94,0,68,26
BENI,RIBERALTA,2026,98,0,73,25
BENI,RIBERALTA,2027,102,0,77,24
BENI,RIBERALTA,2028,105,0,82,24
BENI,RIBERALTA,2029,109,0,87,23
BENI,RIBERALTA,2030,113,0,91,22
BENI,RURRENABAQUE,2016,6,0,5,2
BENI,RURRENABAQUE,2017,5,0,5,0
BENI,RURRENABAQUE,2018,3,0,6,0
BENI,RURRENABAQUE,2019,1,0,7,0
BENI,RURRENABAQUE,2020,0,0,8,0
BENI,RURRENABAQUE,2021,0,0,9,0
BENI,RURRENABAQUE,2022,0,0,10,0
BENI,RURRENABAQUE,2023,0,0,11,0
BENI,RURRENABAQUE,2024,0,0,11,0
BENI,RURRENABAQUE,2025,0,0,12,0
BENI,RURRENABAQUE,2026,0,0,13,0
BENI,RURRENABAQUE,2027,0,0,14,0
BENI,RURRENABAQUE,2028,0,0,15,0
BENI,RURRENABAQUE,2029,0,0,16,0
BENI,RURRENABAQUE,2030,0,0,17,0
BENI,SAN ANDRES,2016,4,0,0,4
BENI,SAN ANDRES,2017,2,0,0,3
BENI,SAN ANDRES,2018,1,0,0,2
BENI,SAN ANDRES,2019,0,0,0,1
BENI,SAN ANDRES,2020,0,0,0,0
BENI,SAN ANDRES,2021,0,0,0,0
BENI,SAN ANDRES,2022,0,0,0,0
BENI,SAN ANDRES,2023,0,0,0,0
BENI,SAN ANDRES,2024,0,0,0,0
BENI,SAN ANDRES,2025,0,0,0,0
BENI,SAN ANDRES,2026,0,0,0,0
BENI,SAN ANDRES,2027,0,0,0,0
BENI,SAN ANDRES,2028,0,0,0,0
BENI,SAN ANDRES,2029,0,0,0,0
BENI,SAN ANDRES,2030,0,0,0,0
BENI,SAN BORJA,2016,31,1,13,18
BENI,SAN BORJA,2017,27,1,15,11
BENI,SAN BORJA,2018,22,1,17,4
BENI,SAN BORJA,2019,17,1,20,0
BENI,SAN BORJA,2020,13,1,22,0
BENI,SAN BORJA,2021,8,1,24,0
BENI,SAN BORJA,2022,4,1,26,0
BENI,SAN BORJA,2023,0,1,29,0
BENI,SAN BORJA,2024,0,1,31,0
BENI,SAN BORJA,2025,0,2,33,0
BENI,SAN BORJA,2026,0,2,35,0
BENI,SAN BORJA,2027,0,2,38,0
BENI,SAN BORJA,2028,0,2,40,0
BENI,SAN BORJA,2029,0,2,42,0
BENI,SAN BORJA,2030,0,2,44,0
BENI,SAN IGNACIO,2016,16,1,3,12
BENI,SAN IGNACIO,2017,12,1,4,7
BENI,SAN IGNACIO,2018,8,1,4,3
BENI,SAN IGNACIO,2019,4,1,4,0
BENI,SAN IGNACIO,2020,0,1,4,0
BENI,SAN IGNACIO,2021,0,1,4,0
BENI,SAN IGNACIO,2022,0,1,4,0
BENI,SAN IGNACIO,2023,0,1,4,0
BENI,SAN IGNACIO,2024,0,1,5,0
BENI,SAN IGNACIO,2025,0,2,5,0
BENI,SAN IGNACIO,2026,0,2,5,0
BENI,SAN IGNACIO,2027,0,2,5,0
BENI,SAN IGNACIO,2028,0,2,5,0
BENI,SAN IGNACIO,2029,0,2,5,0
BENI,SAN IGNACIO,2030,0,2,5,0
BENI,SAN JAVIER(BNI),2016,0,0,0,0
BENI,SAN JAVIER(BNI),2017,0,0,0,0
BENI,SAN JAVIER(BNI),2018,0,0,0,0
BENI,SAN JAVIER(BNI),2019,0,0,0,0
