cod.mun,Año,Poblacion Proyectada
10101,2013,265745
10101,2014,270369
10101,2015,275073
10101,2016,279859
10101,2017,284728
10101,2018,289682
10101,2019,294722
10101,2020,299849
10101,2021,305066
10101,2022,310374
10101,2023,315774
10101,2024,321268
10101,2025,326857
10101,2026,332544
10101,2027,338330
10101,2028,344216
10101,2029,350205
10101,2030,356298
10102,2013,9458
10102,2014,9455
10102,2015,9451
10102,2016,9448
10102,2017,9445
10102,2018,9442
10102,2019,9439
10102,2020,9435
10102,2021,9432
10102,2022,9429
10102,2023,9426
10102,2024,9423
10102,2025,9419
10102,2026,9416
10102,2027,9413
10102,2028,9410
10102,2029,9407
10102,2030,9403
10103,2013,17414
10103,2014,17451
10103,2015,17489
10103,2016,17526
10103,2017,17563
10103,2018,17601
10103,2019,17638
10103,2020,17676
10103,2021,17714
10103,2022,17752
10103,2023,17789
10103,2024,17827
10103,2025,17866
10103,2026,17904
10103,2027,17942
10103,2028,17980
10103,2029,18019
10103,2030,18057
10201,2013,10592
10201,2014,10532
10201,2015,10472
10201,2016,10413
10201,2017,10354
10201,2018,10296
10201,2019,10238
10201,2020,10180
10201,2021,10122
10201,2022,10065
10201,2023,10008
10201,2024,9951
10201,2025,9895
10201,2026,9839
10201,2027,9784
10201,2028,9728
10201,2029,9673
10201,2030,9619
10202,2013,14131
10202,2014,14003
10202,2015,13876
10202,2016,13749
10202,2017,13625
10202,2018,13501
10202,2019,13378
10202,2020,13256
10202,2021,13136
10202,2022,13016
10202,2023,12898
10202,2024,12781
10202,2025,12665
10202,2026,12550
10202,2027,12435
10202,2028,12322
10202,2029,12210
10202,2030,12099
10301,2013,11793
10301,2014,12241
10301,2015,12706
10301,2016,13188
10301,2017,13689
10301,2018,14209
10301,2019,14749
10301,2020,15309
10301,2021,15890
10301,2022,16493
10301,2023,17119
10301,2024,17769
10301,2025,18444
10301,2026,19144
10301,2027,19871
10301,2028,20626
10301,2029,21409
10301,2030,22222
10302,2013,12751
10302,2014,13128
10302,2015,13516
10302,2016,13915
10302,2017,14327
10302,2018,14750
10302,2019,15186
10302,2020,15635
10302,2021,16097
10302,2022,16572
10302,2023,17062
10302,2024,17566
10302,2025,18086
10302,2026,18620
10302,2027,19170
10302,2028,19737
10302,2029,20320
10302,2030,20921
10303,2013,8081
10303,2014,8094
10303,2015,8106
10303,2016,8119
10303,2017,8132
10303,2018,8145
10303,2019,8158
10303,2020,8171
10303,2021,8184
10303,2022,8197
10303,2023,8210
10303,2024,8223
10303,2025,8236
10303,2026,8249
10303,2027,8262
10303,2028,8275
10303,2029,8288
10303,2030,8301
10304,2013,7703
10304,2014,7632
10304,2015,7562
10304,2016,7493
10304,2017,7424
10304,2018,7356
10304,2019,7288
10304,2020,7222
10304,2021,7155
10304,2022,7090
10304,2023,7025
10304,2024,6960
10304,2025,6896
10304,2026,6833
10304,2027,6770
10304,2028,6708
10304,2029,6647
10304,2030,6586
10401,2013,10207
10401,2014,10033
10401,2015,9863
10401,2016,9695
10401,2017,9530
10401,2018,9368
10401,2019,9209
10401,2020,9053
10401,2021,8899
10401,2022,8748
10401,2023,8599
10401,2024,8453
10401,2025,8309
10401,2026,8168
10401,2027,8029
10401,2028,7893
10401,2029,7759
10401,2030,7627
10402,2013,8445
10402,2014,8397
10402,2015,8348
10402,2016,8300
10402,2017,8252
10402,2018,8205
10402,2019,8158
10402,2020,8111
10402,2021,8064
10402,2022,8018
10402,2023,7972
10402,2024,7926
10402,2025,7880
10402,2026,7835
10402,2027,7790
10402,2028,7745
10402,2029,7700
10402,2030,7656
10403,2013,7318
10403,2014,7325
10403,2015,7331
10403,2016,7337
10403,2017,7344
10403,2018,7350
10403,2019,7357
10403,2020,7363
10403,2021,7369
10403,2022,7376
10403,2023,7382
10403,2024,7389
10403,2025,7395
10403,2026,7402
10403,2027,7408
10403,2028,7414
10403,2029,7421
10403,2030,7427
10404,2013,4987
10404,2014,5074
10404,2015,5162
10404,2016,5252
10404,2017,5343
10404,2018,5436
10404,2019,5531
10404,2020,5627
10404,2021,5724
10404,2022,5824
10404,2023,5925
10404,2024,6028
10404,2025,6133
10404,2026,6240
10404,2027,6348
10404,2028,6458
10404,2029,6571
10404,2030,6685
10405,2013,4454
10405,2014,4444
10405,2015,4433
10405,2016,4423
10405,2017,4412
10405,2018,4402
10405,2019,4392
10405,2020,4381
10405,2021,4371
10405,2022,4360
10405,2023,4350
10405,2024,4340
10405,2025,4330
10405,2026,4319
10405,2027,4309
10405,2028,4299
10405,2029,4289
10405,2030,4279
10501,2013,24115
10501,2014,23929
10501,2015,23744
10501,2016,23560
10501,2017,23378
10501,2018,23197
10501,2019,23018
10501,2020,22840
10501,2021,22663
10501,2022,22488
10501,2023,22314
10501,2024,22141
10501,2025,21970
10501,2026,21800
10501,2027,21632
10501,2028,21464
10501,2029,21298
10501,2030,21134
10502,2013,8214
10502,2014,8081
10502,2015,7951
10502,2016,7822
10502,2017,7696
10502,2018,7572
10502,2019,7449
10502,2020,7329
10502,2021,7211
10502,2022,7094
10502,2023,6979
10502,2024,6867
10502,2025,6756
10502,2026,6647
10502,2027,6539
10502,2028,6433
10502,2029,6330
10502,2030,6227
10601,2013,16727
10601,2014,16514
10601,2015,16303
10601,2016,16094
10601,2017,15889
10601,2018,15686
10601,2019,15485
10601,2020,15287
10601,2021,15092
10601,2022,14899
10601,2023,14709
10601,2024,14521
10601,2025,14335
10601,2026,14152
10601,2027,13971
10601,2028,13793
10601,2029,13616
10601,2030,13442
10602,2013,10120
10602,2014,10129
10602,2015,10137
10602,2016,10146
10602,2017,10155
10602,2018,10164
10602,2019,10173
10602,2020,10181
10602,2021,10190
10602,2022,10199
10602,2023,10208
10602,2024,10217
10602,2025,10226
10602,2026,10235
10602,2027,10244
10602,2028,10252
10602,2029,10261
10602,2030,10270
10701,2013,15798
10701,2014,15954
10701,2015,16111
10701,2016,16269
10701,2017,16429
10701,2018,16591
10701,2019,16755
10701,2020,16920
10701,2021,17086
10701,2022,17254
10701,2023,17424
10701,2024,17596
10701,2025,17769
10701,2026,17944
10701,2027,18121
10701,2028,18299
10701,2029,18479
10701,2030,18661
10702,2013,32557
10702,2014,32594
10702,2015,32631
10702,2016,32668
10702,2017,32705
10702,2018,32742
10702,2019,32779
10702,2020,32816
10702,2021,32854
10702,2022,32891
10702,2023,32928
10702,2024,32965
10702,2025,33003
10702,2026,33040
10702,2027,33078
10702,2028,33115
10702,2029,33153
10702,2030,33191
10703,2013,13246
10703,2014,13438
10703,2015,13634
10703,2016,13832
10703,2017,14033
10703,2018,14237
10703,2019,14444
10703,2020,14654
10703,2021,14867
10703,2022,15084
10703,2023,15303
10703,2024,15526
10703,2025,15751
