id;cod_depto;departamento ;cod_mun;municipio;cobertura_bcg;cobertura_pentavalente;cobertura_antipolio;cobertura_antirotavirica;cobertura_antiamarilica;Unamed: 15;Unamed: 16;Unamed: 17;Unamed: 18;Unamed: 19
1;1;CHUQUISACA;10101;SUCRE                         ;1,169,257,781;1,088,201,413;108,772,924;1,060,185,814;1,054,758,226;NaN;NaN;NaN;NaN;NaN
2;1;CHUQUISACA;10102;YOTALA                        ;0,558028914;0,606745724;0,606745724;0,668748937;0,599645146;NaN;NaN;NaN;NaN;NaN
3;1;CHUQUISACA;10103;POROMA                        ;0,661265675;0,704236008;0,704236008;0,689912564;0,579414035;NaN;NaN;NaN;NaN;NaN
4;1;CHUQUISACA;10201;AZURDUY                       ;0,73510127;0,822518718;0,822518718;0,786757035;0,773139622;NaN;NaN;NaN;NaN;NaN
5;1;CHUQUISACA;10202;TARVITA                       ;0,605449642;0,739004711;0,739004711;0,66480745;0,750117822;NaN;NaN;NaN;NaN;NaN
6;1;CHUQUISACA;10301;ZUDAÑEZ                       ;0,379357014;0,525263558;0,525263558;0,514320568;0,417064071;NaN;NaN;NaN;NaN;NaN
7;1;CHUQUISACA;10302;PRESTO                        ;0,399713541;0,564884426;0,564884426;0,488905819;0,573180437;NaN;NaN;NaN;NaN;NaN
8;1;CHUQUISACA;10303;MOJOCOYA                      ;0,532369488;0,704606676;0,704606676;0,610659119;0,622922933;NaN;NaN;NaN;NaN;NaN
9;1;CHUQUISACA;10304;ICLA                          ;0,665525459;0,781029878;0,781029878;0,731527984;0,733680553;NaN;NaN;NaN;NaN;NaN
10;1;CHUQUISACA;10401;PADILLA                       ;0,9528546;0,609665443;0,609665443;0,593515365;0,619563387;NaN;NaN;NaN;NaN;NaN
11;1;CHUQUISACA;10402;TOMINA                        ;0,668017087;0,902321588;0,902321588;0,827543556;0,769988446;NaN;NaN;NaN;NaN;NaN
12;1;CHUQUISACA;10403;SOPACHUY                      ;0,703342965;0,749088849;0,731934143;0,720497672;0,653800915;NaN;NaN;NaN;NaN;NaN
13;1;CHUQUISACA;10404;ALCALA                        ;0,383023765;0,578791467;0,578791467;0,493675075;0,495135905;NaN;NaN;NaN;NaN;NaN
14;1;CHUQUISACA;10405;EL VILLAR                     ;0,471754164;0,754806662;0,754806662;0,679325996;0,681343201;NaN;NaN;NaN;NaN;NaN
15;1;CHUQUISACA;10501;MONTEAGUDO                    ;0,967148512;0,816779132;0,825322847;0,80994416;0,817483027;NaN;NaN;NaN;NaN;NaN
16;1;CHUQUISACA;10502;HUACARETA                     ;0,630106978;1,019,441,371;1,019,441,371;0,932353414;0,960825329;NaN;NaN;NaN;NaN;NaN
17;1;CHUQUISACA;10601;TARABUCO                      ;0,692496501;0,828973913;0,831501273;0,700078579;0,621018013;NaN;NaN;NaN;NaN;NaN
18;1;CHUQUISACA;10602;YAMPARAEZ                     ;0,341567396;0,530869809;0,530869809;0,432103333;0,491155626;NaN;NaN;NaN;NaN;NaN
19;1;CHUQUISACA;10701;CAMARGO                       ;0,913376678;0,734900776;0,734900776;0,716528256;0,750221574;NaN;NaN;NaN;NaN;NaN
20;1;CHUQUISACA;10702;SAN LUCAS                     ;0,743163267;0,78993578;0,78993578;0,775644179;0,645005425;NaN;NaN;NaN;NaN;NaN
21;1;CHUQUISACA;10703;INCAHUASI                     ;0,647063194;0,82382192;0,82382192;0,789101456;0,554000019;NaN;NaN;NaN;NaN;NaN
22;1;CHUQUISACA;10704;VILLA CHARCAS                 ;0,564394582;0,761038848;0,761038848;0,666547447;0,791449219;NaN;NaN;NaN;NaN;NaN
23;1;CHUQUISACA;10801;VILLA SERRANO                 ;0,403581902;0,765674076;0,765674076;0,611030544;0,65823504;NaN;NaN;NaN;NaN;NaN
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA)   ;0,382690807;0,5218511;0,5218511;0,568237865;0,523392963;NaN;NaN;NaN;NaN;NaN
25;1;CHUQUISACA;10902;CULPINA                       ;0,821205809;1,036,565,258;1,036,565,258;0,878003906;0,716802087;NaN;NaN;NaN;NaN;NaN
