id,cod_dep,departamento,cod_mun,municipio,centro_salud,puesto_de_salud,hospital_basico,hospital_general,instituto_especializado,banco_de_sangre,c_caracteristicas_part.,c_s_ambulatorio,c_s_con_internacion,c_s_integral,policlinico,policonsultorio,total_establecimientos_de_salud,Gestion
101012009,1,CHUQUISACA,10101,SUCRE,102,11,7,2,4,0,0,0,0,0,0,0,126,2009
101022009,1,CHUQUISACA,10102,YOTALA,1,9,0,0,0,0,0,0,0,0,0,0,10,2009
101032009,1,CHUQUISACA,10103,POROMA,5,8,0,0,0,0,0,0,0,0,0,0,13,2009
102012009,1,CHUQUISACA,10201,AZURDUY,4,7,0,0,0,0,0,0,0,0,0,0,11,2009
102022009,1,CHUQUISACA,10202,TARVITA,8,3,0,0,0,0,0,0,0,0,0,0,11,2009
103012009,1,CHUQUISACA,10301,ZUDANEZ,1,5,0,0,0,0,0,0,0,0,0,0,6,2009
103022009,1,CHUQUISACA,10302,PRESTO,3,3,0,0,0,0,0,0,0,0,0,0,6,2009
103032009,1,CHUQUISACA,10303,MOJOCOYA,5,3,0,0,0,0,0,0,0,0,0,0,8,2009
103042009,1,CHUQUISACA,10304,ICLA,5,4,0,0,0,0,0,0,0,0,0,0,9,2009
104012009,1,CHUQUISACA,10401,PADILLA,5,2,1,0,0,0,0,0,0,0,0,0,8,2009
104022009,1,CHUQUISACA,10402,TOMINA,3,6,0,0,0,0,0,0,0,0,0,0,9,2009
104032009,1,CHUQUISACA,10403,SOPACHUY,3,2,0,0,0,0,0,0,0,0,0,0,5,2009
104042009,1,CHUQUISACA,10404,ALCALA,3,0,0,0,0,0,0,0,0,0,0,0,3,2009
104052009,1,CHUQUISACA,10405,EL VILLAR,2,3,0,0,0,0,0,0,0,0,0,0,5,2009
105012009,1,CHUQUISACA,10501,MONTEAGUDO,8,10,1,0,0,0,0,0,0,0,0,0,19,2009
105022009,1,CHUQUISACA,10502,HUACARETA,6,9,0,0,0,0,0,0,0,0,0,0,15,2009
106012009,1,CHUQUISACA,10601,TARABUCO,7,4,0,0,0,0,0,0,0,0,0,0,11,2009
106022009,1,CHUQUISACA,10602,YAMPARAEZ,2,7,0,0,0,0,0,0,0,0,0,0,9,2009
107012009,1,CHUQUISACA,10701,CAMARGO,3,4,1,0,0,0,0,0,0,0,0,0,8,2009
107022009,1,CHUQUISACA,10702,SAN LUCAS,6,20,0,0,0,0,0,0,0,0,0,0,26,2009
107032009,1,CHUQUISACA,10703,INCAHUASI,3,10,0,0,0,0,0,0,0,0,0,0,13,2009
107042009,1,CHUQUISACA,10704,VILLA CHARCAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
108012009,1,CHUQUISACA,10801,VILLA SERRANO,5,3,0,0,0,0,0,0,0,0,0,0,8,2009
109012009,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),1,3,0,0,0,0,0,0,0,0,0,0,4,2009
109022009,1,CHUQUISACA,10902,CULPINA,4,8,0,0,0,0,0,0,0,0,0,0,12,2009
109032009,1,CHUQUISACA,10903,LAS CARRERAS,1,5,0,0,0,0,0,0,0,0,0,0,6,2009
110012009,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),5,8,0,0,0,0,0,0,0,0,0,0,13,2009
110022009,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),3,2,0,0,0,0,0,0,0,0,0,0,5,2009
110032009,1,CHUQUISACA,11003,MACHARETI,5,7,0,0,0,0,0,0,0,0,0,0,12,2009
201012009,2,LA PAZ,20101,LA PAZ,116,0,18,5,10,0,0,0,0,0,0,0,149,2009
201022009,2,LA PAZ,20102,PALCA,5,4,0,0,0,0,0,0,0,0,0,0,9,2009
201032009,2,LA PAZ,20103,MECAPACA,3,4,0,0,0,0,0,0,0,0,0,0,7,2009
201042009,2,LA PAZ,20104,ACHOCALLA,2,1,0,0,0,0,0,0,0,0,0,0,3,2009
201052009,2,LA PAZ,20105,EL ALTO,73,0,6,1,0,0,0,0,0,0,0,0,80,2009
202012009,2,LA PAZ,20201,ACHACACHI,6,13,1,0,0,0,0,0,0,0,0,0,20,2009
202022009,2,LA PAZ,20202,ANCORAIMES,1,5,1,0,0,0,0,0,0,0,0,0,7,2009
202032009,2,LA PAZ,20203,HUARINA,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
