cod_mun,cod_dep,Gestion,centro_salud,puesto_de_salud,hospital_basico,hospital_general,instituto_especializado,banco_de_sangre,departamento
10101,1,2016,108,10,9,3,5,1,CHUQUISACA
10101,1,2017,108,9,9,3,6,1,CHUQUISACA
10101,1,2018,109,9,10,3,6,1,CHUQUISACA
10101,1,2019,109,9,10,3,6,2,CHUQUISACA
10101,1,2020,110,9,10,3,6,2,CHUQUISACA
10101,1,2021,110,8,11,3,7,2,CHUQUISACA
10101,1,2022,111,8,11,4,7,2,CHUQUISACA
10101,1,2023,111,8,11,4,7,2,CHUQUISACA
10101,1,2024,112,8,12,4,7,2,CHUQUISACA
10101,1,2025,112,8,12,4,7,3,CHUQUISACA
10101,1,2026,113,7,12,4,8,3,CHUQUISACA
10101,1,2027,113,7,13,4,8,3,CHUQUISACA
10101,1,2028,114,7,13,4,8,3,CHUQUISACA
10101,1,2029,114,7,13,4,8,3,CHUQUISACA
10101,1,2030,114,7,14,4,8,4,CHUQUISACA
10102,1,2016,1,9,0,0,0,0,CHUQUISACA
10102,1,2017,1,9,0,0,0,0,CHUQUISACA
10102,1,2018,1,9,0,0,0,0,CHUQUISACA
10102,1,2019,1,9,0,0,0,0,CHUQUISACA
10102,1,2020,1,9,0,0,0,0,CHUQUISACA
10102,1,2021,1,9,0,0,0,0,CHUQUISACA
10102,1,2022,1,9,0,0,0,0,CHUQUISACA
10102,1,2023,1,9,0,0,0,0,CHUQUISACA
10102,1,2024,1,9,0,0,0,0,CHUQUISACA
10102,1,2025,1,9,0,0,0,0,CHUQUISACA
10102,1,2026,1,9,0,0,0,0,CHUQUISACA
10102,1,2027,1,9,0,0,0,0,CHUQUISACA
10102,1,2028,1,9,0,0,0,0,CHUQUISACA
10102,1,2029,1,9,0,0,0,0,CHUQUISACA
10102,1,2030,1,9,0,0,0,0,CHUQUISACA
10103,1,2016,9,12,0,0,0,0,CHUQUISACA
10103,1,2017,10,12,0,0,0,0,CHUQUISACA
10103,1,2018,10,12,0,0,0,0,CHUQUISACA
10103,1,2019,11,13,0,0,0,0,CHUQUISACA
10103,1,2020,11,13,0,0,0,0,CHUQUISACA
10103,1,2021,12,13,0,0,0,0,CHUQUISACA
10103,1,2022,12,14,0,0,0,0,CHUQUISACA
10103,1,2023,13,14,0,0,0,0,CHUQUISACA
10103,1,2024,13,14,0,0,0,0,CHUQUISACA
10103,1,2025,14,14,0,0,0,0,CHUQUISACA
10103,1,2026,15,15,0,0,0,0,CHUQUISACA
10103,1,2027,15,15,0,0,0,0,CHUQUISACA
10103,1,2028,16,15,0,0,0,0,CHUQUISACA
10103,1,2029,16,16,0,0,0,0,CHUQUISACA
10103,1,2030,17,16,0,0,0,0,CHUQUISACA
10201,1,2016,5,6,0,0,0,0,CHUQUISACA
10201,1,2017,6,5,0,0,0,0,CHUQUISACA
10201,1,2018,6,5,0,0,0,0,CHUQUISACA
10201,1,2019,6,5,0,0,0,0,CHUQUISACA
10201,1,2020,6,5,0,0,0,0,CHUQUISACA
10201,1,2021,7,4,0,0,0,0,CHUQUISACA
10201,1,2022,7,4,0,0,0,0,CHUQUISACA
10201,1,2023,7,4,0,0,0,0,CHUQUISACA
10201,1,2024,7,4,0,0,0,0,CHUQUISACA
10201,1,2025,7,4,0,0,0,0,CHUQUISACA
10201,1,2026,8,3,0,0,0,0,CHUQUISACA
10201,1,2027,8,3,0,0,0,0,CHUQUISACA
10201,1,2028,8,3,0,0,0,0,CHUQUISACA
10201,1,2029,8,3,0,0,0,0,CHUQUISACA
10201,1,2030,8,3,0,0,0,0,CHUQUISACA
10202,1,2016,11,1,0,0,0,0,CHUQUISACA
10202,1,2017,11,1,0,0,0,0,CHUQUISACA
10202,1,2018,12,1,0,0,0,0,CHUQUISACA
10202,1,2019,12,0,0,0,0,0,CHUQUISACA
10202,1,2020,13,0,0,0,0,0,CHUQUISACA
10202,1,2021,13,0,0,0,0,0,CHUQUISACA
10202,1,2022,13,0,0,0,0,0,CHUQUISACA
10202,1,2023,14,0,0,0,0,0,CHUQUISACA
10202,1,2024,14,0,0,0,0,0,CHUQUISACA
10202,1,2025,15,0,0,0,0,0,CHUQUISACA
10202,1,2026,15,0,0,0,0,0,CHUQUISACA
