Departamento,Municipio,Año de Gestion,Total Establecimientos De Salud
COCAHBAMBA,BOLIVAR,2009,5
ORURO,POOPO,2009,5
SANTA CRUZ,EL TORNO,2009,12
CHUQUISACA,TARABUCO,2009,11
LA PAZ,CHUA COCANI,2009,0
ORURO,YUNGUYO DE LITORAL,2009,1
ORURO,CARANGAS,2009,1
LA PAZ,CORIPATA,2009,6
SANTA CRUZ,EL PUENTE(STC),2009,5
POTOSI,LLICA,2009,9
POTOSI,MOJINETE,2009,3
POTOSI,UYUNI,2009,13
LA PAZ,ICHOCA,2009,4
ORURO,HUANUNI,2009,10
BENI,PUERTO SILES,2009,3
POTOSI,VILLAZON,2009,18
LA PAZ,MOCOMOCO,2009,10
SANTA CRUZ,SAN JUAN DE YAPACANI,2009,6
SANTA CRUZ,CUEVO,2009,5
CHUQUISACA,CULPINA,2009,12
COCAHBAMBA,TOCO,2009,4
SANTA CRUZ,SAN JOSE DE CHIQUITOS,2009,9
ORURO,CORQUE,2009,12
BENI,MAGDALENA,2009,9
COCAHBAMBA,TOLATA,2009,2
SANTA CRUZ,GUTIERREZ,2009,12
POTOSI,OCURI,2009,12
CHUQUISACA,TARVITA,2009,11
LA PAZ,MAPIRI,2009,4
COCAHBAMBA,TOTORA(CBBA),2009,7
LA PAZ,COPACABANA,2009,3
BENI,LORETO,2009,6
COCAHBAMBA,SACABAMBA,2009,5
LA PAZ,INQUISIVI,2009,9
COCAHBAMBA,PASORAPA,2009,5
SANTA CRUZ,GENERAL SAAVEDRA,2009,10
SANTA CRUZ,SAN IGNACIO DE VELASCO,2009,21
POTOSI,TUPIZA,2009,40
CHUQUISACA,CAMATAQUI (C. VILLA ABECIA),2009,4
LA PAZ,MECAPACA,2009,7
SANTA CRUZ,FERNANDEZ ALONSO,2009,4
POTOSI,UNCIA,2009,10
SANTA CRUZ,SAN JAVIER(STC),2009,1
LA PAZ,SANTIAGO DE CALLAPA,2009,5
LA PAZ,TACACOMA,2009,3
COCAHBAMBA,ALALAY,2009,5
ORURO,SABAYA,2009,6
CHUQUISACA,SUCRE,2009,126
LA PAZ,CHARANA,2009,2
SANTA CRUZ,CUATRO CANADAS,2009,8
PANDO,BELLA FLOR,2009,4
LA PAZ,HUMANATA,2009,0
SANTA CRUZ,COMARAPA,2009,7
COCAHBAMBA,CAPINOTA,2009,7
LA PAZ,CHACARILLA,2009,2
LA PAZ,PALCA,2009,9
SANTA CRUZ,SAN MIGUEL DE VELASCO,2009,3
ORURO,SALINAS DE GARCI MENDOZA,2009,7
LA PAZ,CORO CORO,2009,6
COCAHBAMBA,PUNATA,2009,10
PANDO,BOLPEBRA,2009,4
COCAHBAMBA,TIQUIPAYA,2009,11
POTOSI,COLQUECHACA,2009,20
BENI,RURRENABAQUE,2009,7
SANTA CRUZ,COLPA BELGICA,2009,3
SANTA CRUZ,SAN PEDRO,2009,9
COCAHBAMBA,SAN BENITO,2009,5
LA PAZ,SAN PEDRO DE CURAHUARA,2009,5
LA PAZ,HUATAJATA,2009,0
SANTA CRUZ,CHARAGUA,2009,17
CHUQUISACA,SAN LUCAS,2009,26
CHUQUISACA,EL VILLAR,2009,5
LA PAZ,CHULUMANI (V. DE LA LIBERTAD),2009,6
COCAHBAMBA,ANZALDO,2009,10
CHUQUISACA,SOPACHUY,2009,5
LA PAZ,VIACHA,2009,12
LA PAZ,NAZACARA DE PACAJES,2009,1
POTOSI,LLALLAGUA,2009,11
BENI,REYES,2009,7
SANTA CRUZ,SAN JULIAN,2009,25
LA PAZ,ALTO BENI,2009,0
COCAHBAMBA,ENTRE RIOS CBBA,2009,8
LA PAZ,SAN PEDRO DE TIQUINA,2009,4
POTOSI,VITICHI,2009,13
SANTA CRUZ,COTOCA,2009,8
POTOSI,COTAGAITA,2009,37
LA PAZ,BATALLAS,2009,5
ORURO,CARACOLLO,2009,7
ORURO,CRUZ DE MACHACAMARCA,2009,1
