id;cod_depto;departamento ;cod_mun;municipio;bcg;cobertura_bcg;pentavalente_3ra_dosis;cobertura_pentavalente;antipolio_3ra_dosis;cobertura_antipolio;antirotavirus_2ra_dosis;cobertura_antirotavirica;antiamarilica;cobertura_antiamarilica
1;1;CHUQUISACA;10101;SUCRE                         ;7429;1,169257781;6914;1,088201413;6911;1,08772924;6736;1,060185814;6682;1,054758226
2;1;CHUQUISACA;10102;YOTALA                        ;126;0,558028914;137;0,606745724;137;0,606745724;151;0,668748937;135;0,599645146
3;1;CHUQUISACA;10103;POROMA                        ;277;0,661265675;295;0,704236008;295;0,704236008;289;0,689912564;242;0,579414035
4;1;CHUQUISACA;10201;AZURDUY                       ;185;0,73510127;207;0,822518718;207;0,822518718;198;0,786757035;194;0,773139622
5;1;CHUQUISACA;10202;TARVITA                       ;204;0,605449642;249;0,739004711;249;0,739004711;224;0,66480745;252;0,750117822
6;1;CHUQUISACA;10301;ZUDAÑEZ                       ;104;0,379357014;144;0,525263558;144;0,525263558;141;0,514320568;114;0,417064071
7;1;CHUQUISACA;10302;PRESTO                        ;121;0,399713541;171;0,564884426;171;0,564884426;148;0,488905819;173;0,573180437
8;1;CHUQUISACA;10303;MOJOCOYA                      ;102;0,532369488;135;0,704606676;135;0,704606676;117;0,610659119;119;0,622922933
9;1;CHUQUISACA;10304;ICLA                          ;121;0,665525459;142;0,781029878;142;0,781029878;133;0,731527984;133;0,733680553
10;1;CHUQUISACA;10401;PADILLA                       ;236;0,9528546;151;0,609665443;151;0,609665443;147;0,593515365;153;0,619563387
11;1;CHUQUISACA;10402;TOMINA                        ;134;0,668017087;181;0,902321588;181;0,902321588;166;0,827543556;154;0,769988446
12;1;CHUQUISACA;10403;SOPACHUY                      ;123;0,703342965;131;0,749088849;128;0,731934143;126;0,720497672;114;0,653800915
13;1;CHUQUISACA;10404;ALCALA                        ;45;0,383023765;68;0,578791467;68;0,578791467;58;0,493675075;58;0,495135905
14;1;CHUQUISACA;10405;EL VILLAR                     ;50;0,471754164;80;0,754806662;80;0,754806662;72;0,679325996;72;0,681343201
15;1;CHUQUISACA;10501;MONTEAGUDO                    ;566;0,967148512;478;0,816779132;483;0,825322847;474;0,80994416;477;0,817483027
16;1;CHUQUISACA;10502;HUACARETA                     ;123;0,630106978;199;1,019441371;199;1,019441371;182;0,932353414;187;0,960825329
17;1;CHUQUISACA;10601;TARABUCO                      ;274;0,692496501;328;0,828973913;329;0,831501273;277;0,700078579;245;0,621018013
18;1;CHUQUISACA;10602;YAMPARAEZ                     ;83;0,341567396;129;0,530869809;129;0,530869809;105;0,432103333;119;0,491155626
19;1;CHUQUISACA;10701;CAMARGO                       ;348;0,913376678;280;0,734900776;280;0,734900776;273;0,716528256;285;0,750221574
20;1;CHUQUISACA;10702;SAN LUCAS                     ;572;0,743163267;608;0,78993578;608;0,78993578;597;0,775644179;495;0,645005425
21;1;CHUQUISACA;10703;INCAHUASI                     ;205;0,647063194;261;0,82382192;261;0,82382192;250;0,789101456;175;0,554000019
22;1;CHUQUISACA;10704;VILLA CHARCAS                 ;221;0,564394582;298;0,761038848;298;0,761038848;261;0,666547447;309;0,791449219
23;1;CHUQUISACA;10801;VILLA SERRANO                 ;107;0,403581902;203;0,765674076;203;0,765674076;162;0,611030544;174;0,65823504
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA)   ;33;0,382690807;45;0,5218511;45;0,5218511;49;0,568237865;45;0,523392963
25;1;CHUQUISACA;10902;CULPINA                       ;347;0,821205809;438;1,036565258;438;1,036565258;371;0,878003906;302;0,716802087
26;1;CHUQUISACA;10903;LAS CARRERAS                  ;60;0,607863877;90;0,911795815;90;0,911795815;69;0,699043458;59;0,599506499
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA) ;143;0,613557813;207;0,888157114;209;0,896738342;203;0,870994657;175;0,753093756
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA)    ;47;0,775673804;72;1,188266253;72;1,188266253;67;1,105747763;57;0,943540904
29;1;CHUQUISACA;11003;MACHARETI                     ;71;0,401664899;168;0,950418352;167;0,9447611;145;0,820301554;164;0,930573206
30;2;LA PAZ    ;20101;LA PAZ                        ;21149;1,33878187;14617;0,925290775;14583;0,923138494;15071;0,954030052;12910;0,821490239
31;2;LA PAZ    ;20102;PALCA                         ;310;0,899578237;392;1,137531191;391;1,134629325;383;1,111414403;490;1,429384937
32;2;LA PAZ    ;20103;MECAPACA                      ;148;0,428414866;212;0,613675348;204;0,590517788;206;0,596307178;202;0,58779462
33;2;LA PAZ    ;20104;ACHOCALLA                     ;213;0,468878339;354;0,779262592;353;0,777061285;414;0,911340997;413;0,913898754
34;2;LA PAZ    ;20105;EL ALTO                       ;20956;1,174801811;17956;1,006620601;17960;1,006844842;18049;1,011834218;17881;1,007641834
35;2;LA PAZ    ;20201;ACHACACHI                     ;743;0,789604872;573;0,608941577;573;0,608941577;609;0,647199686;589;0,629216725
36;2;LA PAZ    ;20202;ANCORAIMES                    ;213;0,806517825;205;0,776226075;204;0,772439607;197;0,745934326;230;0,875446861
37;2;LA PAZ    ;20203;CHUA COCANI                   ;42;0,429916355;54;0,552749599;54;0,552749599;45;0,460624666;62;0,637968778
38;2;LA PAZ    ;20204;HUARINA                       ;75;0,459707685;85;0,521002044;85;0,521002044;87;0,533260915;87;0,536033302
39;2;LA PAZ    ;20205;SANTIAGO DE HUATA             ;86;0,484604686;77;0,433890242;77;0,433890242;71;0,400080613;104;0,589084976
40;2;LA PAZ    ;20206;HUATAJATA                     ;21;0,251986753;39;0,467975399;39;0,467975399;33;0,395979184;47;0,566908948
41;2;LA PAZ    ;20301;CORO CORO                     ;84;0,403998753;123;0,591569602;123;0,591569602;121;0,581950584;127;0,614036491
42;2;LA PAZ    ;20302;CAQUIAVIRI                    ;119;0,392295441;118;0,388998841;118;0,388998841;110;0,362626038;164;0,543480167
43;2;LA PAZ    ;20303;CALACOTO                      ;52;0,25640788;68;0,335302612;68;0,335302612;66;0,32544077;55;0,272632759
44;2;LA PAZ    ;20304;COMANCHE                      ;28;0,353515746;41;0,517648057;41;0,517648057;41;0,517648057;39;0,494979896
45;2;LA PAZ    ;20305;CHARAÑA                       ;30;0,445836007;33;0,490419608;33;0,490419608;36;0,535003208;25;0,37347908
46;2;LA PAZ    ;20306;WALDO BALLIVIAN               ;34;0,31819131;40;0,374342718;40;0,374342718;37;0,346267014;30;0,282233338
47;2;LA PAZ    ;20307;NAZACARA DE PACAJES           ;9;0,675916604;8;0,600814759;8;0,600814759;4;0,30040738;19;1,434497363
48;2;LA PAZ    ;20308;SANTIAGO DE CALLAPA           ;51;0,351503032;49;0,3377186;50;0,344610816;48;0,330826383;60;0,415723079
49;2;LA PAZ    ;20401;PUERTO ACOSTA                 ;151;0,66906993;179;0,793135877;179;0,793135877;168;0,744395683;164;0,730471973
50;2;LA PAZ    ;20402;MOCOMOCO                      ;221;0,688766607;218;0,679416834;218;0,679416834;204;0,63578456;223;0,698663183
51;2;LA PAZ    ;20403;PUERTO CARABUCO               ;196;0,673344053;210;0,721440057;210;0,721440057;198;0,680214911;215;0,742508334
52;2;LA PAZ    ;20404;HUMANATA                      ;58;0,539860817;77;0,716711774;77;0,716711774;63;0,586400542;57;0,533334686
53;2;LA PAZ    ;20405;ESCOMA                        ;110;0,758109283;67;0,461757472;67;0,461757472;72;0,496216985;87;0,602725141
54;2;LA PAZ    ;20501;CHUMA                         ;144;0,626338621;138;0,600241178;138;0,600241178;137;0,595891604;168;0,734577647
55;2;LA PAZ    ;20502;AYATA                         ;132;0,765710926;143;0,82952017;144;0,83532101;129;0,748308405;152;0,886374112
56;2;LA PAZ    ;20503;AUCAPATA                      ;72;0,632575661;72;0,632575661;73;0,641361434;73;0,641361434;91;0,803736498
57;2;LA PAZ    ;20601;SORATA                        ;303;0,613000559;357;0,722248183;358;0,724271288;355;0,718201975;361;0,734186052
58;2;LA PAZ    ;20602;GUANAY                        ;280;0,903555772;346;1,116536775;338;1,090720896;321;1,035862153;346;1,12247549
59;2;LA PAZ    ;20603;TACACOMA                      ;115;0,670731112;143;0,834039557;143;0,834039557;121;0,705725779;108;0,633254348
60;2;LA PAZ    ;20604;QUIABAYA                      ;60;1,105050308;58;1,068215297;58;1,068215297;54;0,994545277;51;0,944251344
61;2;LA PAZ    ;20605;COMBAYA                       ;58;0,74398864;47;0,602887346;47;0,602887346;54;0,692679078;50;0,644745783
62;2;LA PAZ    ;20606;TIPUANI                       ;128;0,62183275;223;1,083349244;221;1,073633107;203;0,986187876;234;1,142807719
63;2;LA PAZ    ;20607;MAPIRI                        ;248;0,857525481;350;1,210217412;353;1,220590704;347;1,19984412;393;1,366118012
64;2;LA PAZ    ;20608;TEOPONTE                      ;224;1,144336856;288;1,471290243;283;1,445747009;289;1,476398889;332;1,705111537
65;2;LA PAZ    ;20701;APOLO                         ;329;0,770855353;359;0,841146114;359;0,841146114;311;0,728680896;410;0,965735953
66;2;LA PAZ    ;20702;PELECHUCO                     ;127;0,905938297;139;0,991538766;139;0,991538766;134;0,955871904;148;1,061399971
67;2;LA PAZ    ;20801;VIACHA                        ;965;0,561515323;1345;0,782630165;1359;0,790776501;1385;0,805905412;1471;0,860421835
68;2;LA PAZ    ;20802;GUAQUI                        ;75;0,507833101;92;0,622941938;92;0,622941938;102;0,690653018;102;0,694266794
